Número Município Nome
     1 1100015   Alta Floresta D'Oeste           
  1062 2502409   Bonito de Santa Fé              
  1063 2502508   Boqueirão                       
  1064 2502607   Igaracy                         
  1065 2502706   Borborema                       
  1066 2502805   Brejo do Cruz                   
  1067 2502904   Brejo dos Santos                
  1068 2503001   Caaporã                         
  1069 2503100   Cabaceiras                      
  1070 2503308   Cachoeira dos Índios            
  1071 2503407   Cacimba de Areia                
  1072 2503506   Cacimba de Dentro               
  1073 2503555   Cacimbas                        
  1074 2503605   Caiçara                         
  1075 2503753   Cajazeirinhas                   
  1076 2503803   Caldas Brandão                  
  1077 2503902   Camalaú                         
  1078 2504033   Capim                           
  1079 2504074   Caraúbas                        
  1080 2504108   Carrapateira                    
  1081 2504157   Casserengue                     
  1082 2504207   Catingueira                     
  1083 2504355   Caturité                        
  1084 2504405   Conceição                       
  1085 2504504   Condado                         
  1086 2504603   Conde                           
  1087 2504702   Congo                           
  1088 2504801   Coremas                         
  1089 2504850   Coxixola                        
  1090 2504900   Cruz do Espírito Santo          
  1091 2505006   Cubati                          
  1092 2505105   Cuité                           
  1093 2505204   Cuitegi                         
  1094 2505238   Cuité de Mamanguape             
  1095 2505279   Curral de Cima                  
  1096 2505303   Curral Velho                    
  1097 2505352   Damião                          
  1098 2505402   Desterro                        
  1099 2505501   Vista Serrana                   
  1100 2505600   Diamante                        
  1101 2505709   Dona Inês                       
  1102 2505808   Duas Estradas                   
  1103 2505907   Emas                            
  1104 2506103   Fagundes                        
  1105 2506202   Frei Martinho                   
  1106 2506251   Gado Bravo                      
  1107 2506400   Gurinhém                        
  1108 2506509   Gurjão                          
  1109 2506608   Ibiara                          
  1110 2506707   Imaculada                       
  1111 2506806   Ingá                            
  1112 2506905   Itabaiana                       
  1113 2507002   Itaporanga                      
  1114 2507101   Itapororoca                     
  1115 2507200   Itatuba                         
  1116 2507309   Jacaraú                         
  1117 2507408   Jericó                          
  1118 2507606   Juarez Távora                   
  1119 2507705   Juazeirinho                     
  1120 2507804   Junco do Seridó                 
  1121 2507903   Juripiranga                     
  1122 2508000   Juru                            
  1123 2508109   Lagoa                           
  1124 2508208   Lagoa de Dentro                 
  1125 2508307   Lagoa Seca                      
  1126 2508406   Lastro                          
  1127 2508505   Livramento                      
  1128 2508554   Logradouro                      
  1129 2508604   Lucena                          
  1130 2508703   Mãe d'Água                      
  1131 2508802   Malta                           
  1132 2509008   Manaíra                         
  1133 2509057   Marcação                        
  1134 2509107   Mari                            
  1135 2509156   Marizópolis                     
  1136 2509206   Massaranduba                    
  1137 2509305   Mataraca                        
  1138 2509339   Matinhas                        
  1139 2509370   Mato Grosso                     
  1140 2509396   Maturéia                        
  1141 2509404   Mogeiro                         
  1142 2509503   Montadas                        
  1143 2509602   Monte Horebe                    
  1144 2509800   Mulungu                         
  1145 2509909   Natuba                          
  1146 2510006   Nazarezinho                     
  1147 2510105   Nova Floresta                   
  1148 2510204   Nova Olinda                     
  1149 2510303   Nova Palmeira                   
  1150 2510402   Olho d'Água                     
  1151 2510501   Olivedos                        
  1152 2510600   Ouro Velho                      
  1153 2510659   Parari                          
  1154 2510709   Passagem                        
  1155 2510907   Paulista                        
  1156 2511004   Pedra Branca                    
  1157 2511103   Pedra Lavrada                   
  1158 2511202   Pedras de Fogo                  
  1159 2511301   Piancó                          
  1160 2511400   Picuí                           
  1161 2511509   Pilar                           
  1162 2511608   Pilões                          
  1163 2511707   Pilõezinhos                     
  1164 2511806   Pirpirituba                     
  1165 2511905   Pitimbu                         
  1166 2512002   Pocinhos                        
  1167 2512036   Poço Dantas                     
  1168 2512077   Poço de José de Moura           
  1169 2512200   Prata                           
  1170 2512309   Princesa Isabel                 
  1171 2512408   Puxinanã                        
  1172 2512606   Quixabá                         
  1173 2512705   Remígio                         
  1174 2512721   Pedro Régis                     
  1175 2512747   Riachão                         
  1176 2512754   Riachão do Bacamarte            
  1177 2512762   Riachão do Poço                 
  1178 2512788   Riacho de Santo Antônio         
  1179 2512804   Riacho dos Cavalos              
  1180 2512903   Rio Tinto                       
  1181 2513000   Salgadinho                      
  1182 2513109   Salgado de São Félix            
  1183 2513158   Santa Cecília                   
  1184 2513208   Santa Cruz                      
  1185 2513307   Santa Helena                    
  1186 2513356   Santa Inês                      
  1187 2513406   Santa Luzia                     
  1188 2513505   Santana de Mangueira            
  1189 2513604   Santana dos Garrotes            
  1190 2513653   Joca Claudino*                  
  1191 2513802   Santa Teresinha                 
  1192 2513851   Santo André                     
  1193 2513901   São Bento                       
  1194 2513927   São Bentinho                    
  1195 2513943   São Domingos do Cariri          
  1196 2513968   São Domingos de Pombal          
  1197 2513984   São Francisco                   
  1198 2514008   São João do Cariri              
  1199 2514107   São João do Tigre               
  1200 2514206   São José da Lagoa Tapada        
  1201 2514305   São José de Caiana              
  1202 2514404   São José de Espinharas          
  1203 2514453   São José dos Ramos              
  1204 2514503   São José de Piranhas            
  1205 2514552   São José de Princesa            
  1206 2514602   São José do Bonfim              
  1207 2514651   São José do Brejo do Cruz       
  1208 2514701   São José do Sabugi              
  1209 2514800   São José dos Cordeiros          
  1210 2514909   São Mamede                      
  1211 2515005   São Miguel de Taipu             
  1212 2515104   São Sebastião de Lagoa de Roça  
  1213 2515203   São Sebastião do Umbuzeiro      
  1214 2515401   Seridó                          
  1215 2515500   Serra Branca                    
  1216 2515609   Serra da Raiz                   
  1217 2515708   Serra Grande                    
  1218 2515807   Serra Redonda                   
  1219 2515906   Serraria                        
  1220 2515930   Sertãozinho                     
  1221 2515971   Sobrado                         
  1222 2516003   Solânea                         
  1223 2516102   Soledade                        
  1224 2516151   Sossêgo                         
  1225 2516300   Sumé                            
  1226 2516409   Tacima *                        
  1227 2516508   Taperoá                         
  1228 2516607   Tavares                         
  1229 2516706   Teixeira                        
  1230 2516755   Tenório                         
  1231 2516805   Triunfo                         
  1232 2516904   Uiraúna                         
  1233 2517001   Umbuzeiro                       
  1234 2517100   Várzea                          
  1235 2517209   Vieirópolis                     
  1236 2517407   Zabelê                          
  1237 2600203   Afrânio                         
  1238 2600302   Agrestina                       
  1239 2600401   Água Preta                      
  1240 2600609   Alagoinha                       
  1241 2600807   Altinho                         
  1242 2600906   Amaraji                         
  1243 2601003   Angelim                         
  1244 2601052   Araçoiaba                       
  1245 2601300   Barra de Guabiraba              
  1246 2601508   Belém de Maria                  
  1247 2601607   Belém de São Francisco          
  1248 2601805   Betânia                         
  1249 2602407   Brejão                          
  1250 2602506   Brejinho                        
  1251 2602704   Buenos Aires                    
  1252 2603009   Cabrobó                         
  1253 2603108   Cachoeirinha                    
  1254 2603207   Caetés                          
  1255 2603306   Calçado                         
  1256 2603405   Calumbi                         
  1257 2603504   Camocim de São Félix            
  1258 2603603   Camutanga                       
  1259 2603702   Canhotinho                      
  1260 2603801   Capoeiras                       
  1261 2603900   Carnaíba                        
  1262 2603926   Carnaubeira da Penha            
  1263 2604155   Casinhas                        
  1264 2604304   Cedro                           
  1265 2604403   Chã de Alegria                  
  1266 2604502   Chã Grande                      
  1267 2604601   Condado                         
  1268 2604700   Correntes                       
  1269 2604809   Cortês                          
  1270 2605004   Cupira                          
  1271 2605152   Dormentes                       
  1272 2605400   Feira Nova                      
  1273 2605459   Fernando de Noronha             
  1274 2605509   Ferreiros                       
  1275 2605608   Flores                          
  1276 2605707   Floresta                        
  1277 2605905   Gameleira                       
  1278 2606101   Glória do Goitá                 
  1279 2606309   Granito                         
  1280 2606507   Iati                            
  1281 2606606   Ibimirim                        
  1282 2606705   Ibirajuba                       
  1283 2606903   Iguaraci                        
  1284 2607000   Inajá                           
  1285 2607109   Ingazeira                       
  1286 2607307   Ipubi                           
  1287 2607406   Itacuruba                       
  1288 2607505   Itaíba                          
  1289 2607604   Ilha de Itamaracá               
  1290 2607703   Itapetim                        
  1291 2607752   Itapissuma                      
  1292 2607802   Itaquitinga                     
  1293 2607950   Jaqueira                        
  1294 2608008   Jataúba                         
  1295 2608057   Jatobá                          
  1296 2608206   Joaquim Nabuco                  
  1297 2608255   Jucati                          
  1298 2608305   Jupi                            
  1299 2608404   Jurema                          
  1300 2608453   Lagoa do Carro                  
  1301 2608503   Lagoa do Itaenga                
  1302 2608602   Lagoa do Ouro                   
  1303 2608701   Lagoa dos Gatos                 
  1304 2608750   Lagoa Grande                    
  1305 2609006   Macaparana                      
  1306 2609105   Machados                        
  1307 2609154   Manari                          
  1308 2609204   Maraial                         
  1309 2609303   Mirandiba                       
  1310 2609709   Orobó                           
  1311 2609808   Orocó                           
  1312 2610103   Palmeirina                      
  1313 2610202   Panelas                         
  1314 2610301   Paranatama                      
  1315 2610400   Parnamirim                      
  1316 2610509   Passira                         
  1317 2610806   Pedra                           
  1318 2611200   Poção                           
  1319 2611309   Pombos                          
  1320 2611408   Primavera                       
  1321 2611507   Quipapá                         
  1322 2611533   Quixaba                         
  1323 2611705   Riacho das Almas                
  1324 2611903   Rio Formoso                     
  1325 2612000   Sairé                           
  1326 2612109   Salgadinho                      
  1327 2612307   Saloá                           
  1328 2612406   Sanharó                         
  1329 2612455   Santa Cruz                      
  1330 2612471   Santa Cruz da Baixa Verde       
  1331 2612554   Santa Filomena                  
  1332 2612703   Santa Maria do Cambucá          
  1333 2612802   Santa Terezinha                 
  1334 2612901   São Benedito do Sul             
  1335 2613206   São João                        
  1336 2613305   São Joaquim do Monte            
  1337 2613404   São José da Coroa Grande        
  1338 2613503   São José do Belmonte            
  1339 2613800   São Vicente Ferrer              
  1340 2614006   Serrita                         
  1341 2614303   Moreilândia                     
  1342 2614402   Solidão                         
  1343 2614600   Tabira                          
  1344 2614709   Tacaimbó                        
  1345 2614808   Tacaratu                        
  1346 2614857   Tamandaré                       
  1347 2615003   Taquaritinga do Norte           
  1348 2615102   Terezinha                       
  1349 2615201   Terra Nova                      
  1350 2615508   Tracunhaém                      
  1351 2615607   Trindade                        
  1352 2615706   Triunfo                         
  1353 2615805   Tupanatinga                     
  1354 2615904   Tuparetama                      
  1355 2616001   Venturosa                       
  1356 2616100   Verdejante                      
  1357 2616183   Vertente do Lério               
  1358 2616209   Vertentes                       
  1359 2616308   Vicência                        
  1360 2616506   Xexéu                           
  1361 2700102   Água Branca                     
  1362 2700201   Anadia                          
  1363 2700508   Barra de Santo Antônio          
  1364 2700607   Barra de São Miguel             
  1365 2700706   Batalha                         
  1366 2700805   Belém                           
  1367 2700904   Belo Monte                      
  1368 2701001   Boca da Mata                    
  1369 2701100   Branquinha                      
  1370 2701209   Cacimbinhas                     
  1371 2701308   Cajueiro                        
  1372 2701357   Campestre                       
  1373 2701506   Campo Grande                    
  1374 2701605   Canapi                          
  1375 2701704   Capela                          
  1376 2701803   Carneiros                       
  1377 2701902   Chã Preta                       
  1378 2702009   Coité do Nóia                   
  1379 2702108   Colônia Leopoldina              
  1380 2702207   Coqueiro Seco                   
  1381 2702355   Craíbas                         
  1382 2702504   Dois Riachos                    
  1383 2702553   Estrela de Alagoas              
  1384 2702603   Feira Grande                    
  1385 2702702   Feliz Deserto                   
  1386 2702801   Flexeiras                       
  1387 2703007   Ibateguara                      
  1388 2703106   Igaci                           
  1389 2703205   Igreja Nova                     
  1390 2703304   Inhapi                          
  1391 2703403   Jacaré dos Homens               
  1392 2703502   Jacuípe                         
  1393 2703601   Japaratinga                     
  1394 2703700   Jaramataia                      
  1395 2703759   Jequiá da Praia                 
  1396 2703809   Joaquim Gomes                   
  1397 2703908   Jundiá                          
  1398 2704005   Junqueiro                       
  1399 2704104   Lagoa da Canoa                  
  1400 2704203   Limoeiro de Anadia              
  1401 2704401   Major Isidoro                   
  1402 2704500   Maragogi                        
  1403 2704609   Maravilha                       
  1404 2704807   Maribondo                       
  1405 2704906   Mar Vermelho                    
  1406 2705002   Mata Grande                     
  1407 2705101   Matriz de Camaragibe            
  1408 2705200   Messias                         
  1409 2705309   Minador do Negrão               
  1410 2705408   Monteirópolis                   
  1411 2705507   Murici                          
  1412 2705606   Novo Lino                       
  1413 2705705   Olho d'Água das Flores          
  1414 2705804   Olho d'Água do Casado           
  1415 2705903   Olho d'Água Grande              
  1416 2706000   Olivença                        
  1417 2706109   Ouro Branco                     
  1418 2706208   Palestina                       
  1419 2706406   Pão de Açúcar                   
  1420 2706422   Pariconha                       
  1421 2706448   Paripueira                      
  1422 2706505   Passo de Camaragibe             
  1423 2706604   Paulo Jacinto                   
  1424 2706802   Piaçabuçu                       
  1425 2707008   Pindoba                         
  1426 2707107   Piranhas                        
  1427 2707206   Poço das Trincheiras            
  1428 2707305   Porto Calvo                     
  1429 2707404   Porto de Pedras                 
  1430 2707503   Porto Real do Colégio           
  1431 2707602   Quebrangulo                     
  1432 2707800   Roteiro                         
  1433 2707909   Santa Luzia do Norte            
  1434 2708105   Santana do Mundaú               
  1435 2708204   São Brás                        
  1436 2708303   São José da Laje                
  1437 2708402   São José da Tapera              
  1438 2708501   São Luís do Quitunde            
  1439 2708709   São Miguel dos Milagres         
  1440 2708808   São Sebastião                   
  1441 2708907   Satuba                          
  1442 2708956   Senador Rui Palmeira            
  1443 2709004   Tanque d'Arca                   
  1444 2709103   Taquarana                       
  1445 2709202   Traipu                          
  1446 2709400   Viçosa                          
  1447 2800100   Amparo de São Francisco         
  1448 2800209   Aquidabã                        
  1449 2800407   Arauá                           
  1450 2800506   Areia Branca                    
  1451 2800605   Barra dos Coqueiros             
  1452 2800670   Boquim                          
  1453 2800704   Brejo Grande                    
  1454 2801009   Campo do Brito                  
  1455 2801108   Canhoba                         
  1456 2801207   Canindé de São Francisco        
  1457 2801306   Capela                          
  1458 2801405   Carira                          
  1459 2801504   Carmópolis                      
  1460 2801603   Cedro de São João               
  1461 2801702   Cristinápolis                   
  1462 2801900   Cumbe                           
  1463 2802007   Divina Pastora                  
  1464 2802205   Feira Nova                      
  1465 2802304   Frei Paulo                      
  1466 2802403   Gararu                          
  1467 2802502   General Maynard                 
  1468 2802601   Gracho Cardoso                  
  1469 2802700   Ilha das Flores                 
  1470 2802809   Indiaroba                       
  1471 2803104   Itabi                           
  1472 2803302   Japaratuba                      
  1473 2803401   Japoatã                         
  1474 2803609   Laranjeiras                     
  1475 2803708   Macambira                       
  1476 2803807   Malhada dos Bois                
  1477 2803906   Malhador                        
  1478 2804003   Maruim                          
  1479 2804102   Moita Bonita                    
  1480 2804201   Monte Alegre de Sergipe         
  1481 2804300   Muribeca                        
  1482 2804409   Neópolis                        
  1483 2804458   Nossa Senhora Aparecida         
  1484 2804508   Nossa Senhora da Glória         
  1485 2804607   Nossa Senhora das Dores         
  1486 2804706   Nossa Senhora de Lourdes        
  1487 2804904   Pacatuba                        
  1488 2805000   Pedra Mole                      
  1489 2805109   Pedrinhas                       
  1490 2805208   Pinhão                          
  1491 2805307   Pirambu                         
  1492 2805406   Poço Redondo                    
  1493 2805505   Poço Verde                      
  1494 2805604   Porto da Folha                  
  1495 2805703   Propriá                         
  1496 2805802   Riachão do Dantas               
  1497 2805901   Riachuelo                       
  1498 2806008   Ribeirópolis                    
  1499 2806107   Rosário do Catete               
  1500 2806206   Salgado                         
  1501 2806305   Santa Luzia do Itanhy           
  1502 2806404   Santana do São Francisco        
  1503 2806503   Santa Rosa de Lima              
  1504 2806602   Santo Amaro das Brotas          
  1505 2806800   São Domingos                    
  1506 2806909   São Francisco                   
  1507 2807006   São Miguel do Aleixo            
  1508 2807204   Siriri                          
  1509 2807303   Telha                           
  1510 2807501   Tomar do Geru                   
  1511 2807600   Umbaúba                         
  1512 2900108   Abaíra                          
  1513 2900207   Abaré                           
  1514 2900306   Acajutiba                       
  1515 2900355   Adustina                        
  1516 2900405   Água Fria                       
  1517 2900504   Érico Cardoso                   
  1518 2900603   Aiquara                         
  1519 2900801   Alcobaça                        
  1520 2900900   Almadina                        
  1521 2901106   Amélia Rodrigues                
  1522 2901155   América Dourada                 
  1523 2901205   Anagé                           
  1524 2901304   Andaraí                         
  1525 2901353   Andorinha                       
  1526 2901403   Angical                         
  1527 2901502   Anguera                         
  1528 2901601   Antas                           
  1529 2901700   Antônio Cardoso                 
  1530 2901809   Antônio Gonçalves               
  1531 2901957   Apuarema                        
  1532 2902005   Aracatu                         
  1533 2902054   Araças                          
  1534 2902203   Aramari                         
  1535 2902252   Arataca                         
  1536 2902302   Aratuípe                        
  1537 2902401   Aurelino Leal                   
  1538 2902500   Baianópolis                     
  1539 2902609   Baixa Grande                    
  1540 2902658   Banzaê                          
  1541 2902807   Barra da Estiva                 
  1542 2903003   Barra do Mendes                 
  1543 2903102   Barra do Rocha                  
  1544 2903235   Barro Alto                      
  1545 2903276   Barrocas                        
  1546 2903300   Barro Preto                     
  1547 2903409   Belmonte                        
  1548 2903508   Belo Campo                      
  1549 2903607   Biritinga                       
  1550 2903706   Boa Nova                        
  1551 2903805   Boa Vista do Tupim              
  1552 2903953   Bom Jesus da Serra              
  1553 2904001   Boninal                         
  1554 2904050   Bonito                          
  1555 2904100   Boquira                         
  1556 2904209   Botuporã                        
  1557 2904308   Brejões                         
  1558 2904407   Brejolândia                     
  1559 2904506   Brotas de Macaúbas              
  1560 2904704   Buerarema                       
  1561 2904753   Buritirama                      
  1562 2904803   Caatiba                         
  1563 2904852   Cabaceiras do Paraguaçu         
  1564 2905008   Caculé                          
  1565 2905107   Caém                            
  1566 2905156   Caetanos                        
  1567 2905305   Cafarnaum                       
  1568 2905404   Cairu                           
  1569 2905503   Caldeirão Grande                
  1570 2905800   Camamu                          
  1571 2905909   Campo Alegre de Lourdes         
  1572 2906105   Canápolis                       
  1573 2906204   Canarana                        
  1574 2906402   Candeal                         
  1575 2906600   Candiba                         
  1576 2906709   Cândido Sales                   
  1577 2906824   Canudos                         
  1578 2906857   Capela do Alto Alegre           
  1579 2906899   Caraíbas                        
  1580 2906907   Caravelas                       
  1581 2907004   Cardeal da Silva                
  1582 2907103   Carinhanha                      
  1583 2907301   Castro Alves                    
  1584 2907400   Catolândia                      
  1585 2907558   Caturama                        
  1586 2907608   Central                         
  1587 2907707   Chorrochó                       
  1588 2907905   Cipó                            
  1589 2908002   Coaraci                         
  1590 2908101   Cocos                           
  1591 2908200   Conceição da Feira              
  1592 2908309   Conceição do Almeida            
  1593 2908507   Conceição do Jacuípe            
  1594 2908606   Conde                           
  1595 2908705   Condeúba                        
  1596 2908804   Contendas do Sincorá            
  1597 2908903   Coração de Maria                
  1598 2909000   Cordeiros                       
  1599 2909109   Coribe                          
  1600 2909208   Coronel João Sá                 
  1601 2909406   Cotegipe                        
  1602 2909505   Cravolândia                     
  1603 2909604   Crisópolis                      
  1604 2909703   Cristópolis                     
  1605 2909901   Curaçá                          
  1606 2910008   Dário Meira                     
  1607 2910107   Dom Basílio                     
  1608 2910206   Dom Macedo Costa                
  1609 2910305   Elísio Medrado                  
  1610 2910404   Encruzilhada                    
  1611 2910750   Fátima                          
  1612 2910776   Feira da Mata                   
  1613 2910859   Filadélfia                      
  1614 2910909   Firmino Alves                   
  1615 2911006   Floresta Azul                   
  1616 2911105   Formosa do Rio Preto            
  1617 2911253   Gavião                          
  1618 2911303   Gentio do Ouro                  
  1619 2911402   Glória                          
  1620 2911501   Gongogi                         
  1621 2911600   Governador Mangabeira           
  1622 2911659   Guajeru                         
  1623 2911808   Guaratinga                      
  1624 2911857   Heliópolis                      
  1625 2911907   Iaçu                            
  1626 2912004   Ibiassucê                       
  1627 2912103   Ibicaraí                        
  1628 2912301   Ibicuí                          
  1629 2912400   Ibipeba                         
  1630 2912509   Ibipitanga                      
  1631 2912608   Ibiquera                        
  1632 2912707   Ibirapitanga                    
  1633 2912806   Ibirapuã                        
  1634 2912905   Ibirataia                       
  1635 2913002   Ibitiara                        
  1636 2913101   Ibititá                         
  1637 2913200   Ibotirama                       
  1638 2913309   Ichu                            
  1639 2913408   Igaporã                         
  1640 2913457   Igrapiúna                       
  1641 2913507   Iguaí                           
  1642 2913705   Inhambupe                       
  1643 2913804   Ipecaetá                        
  1644 2914109   Ipupiara                        
  1645 2914208   Irajuba                         
  1646 2914307   Iramaia                         
  1647 2914406   Iraquara                        
  1648 2914505   Irará                           
  1649 2914653   Itabela                         
  1650 2914901   Itacaré                         
  1651 2915007   Itaeté                          
  1652 2915106   Itagi                           
  1653 2915205   Itagibá                         
  1654 2915304   Itagimirim                      
  1655 2915353   Itaguaçu da Bahia               
  1656 2915403   Itaju do Colônia                
  1657 2915502   Itajuípe                        
  1658 2915700   Itamari                         
  1659 2915809   Itambé                          
  1660 2915908   Itanagra                        
  1661 2916005   Itanhém                         
  1662 2916104   Itaparica                       
  1663 2916203   Itapé                           
  1664 2916302   Itapebi                         
  1665 2916609   Itapitanga                      
  1666 2916708   Itaquara                        
  1667 2916807   Itarantim                       
  1668 2916856   Itatim                          
  1669 2916906   Itiruçu                         
  1670 2917102   Itororó                         
  1671 2917201   Ituaçu                          
  1672 2917300   Ituberá                         
  1673 2917334   Iuiú                            
  1674 2917359   Jaborandi                       
  1675 2917409   Jacaraci                        
  1676 2917805   Jaguaripe                       
  1677 2917904   Jandaíra                        
  1678 2918209   Jiquiriçá                       
  1679 2918308   Jitaúna                         
  1680 2918357   João Dourado                    
  1681 2918456   Jucuruçu                        
  1682 2918506   Jussara                         
  1683 2918555   Jussari                         
  1684 2918605   Jussiape                        
  1685 2918704   Lafaiete Coutinho               
  1686 2918753   Lagoa Real                      
  1687 2918803   Laje                            
  1688 2918902   Lajedão                         
  1689 2919009   Lajedinho                       
  1690 2919058   Lajedo do Tabocal               
  1691 2919108   Lamarão                         
  1692 2919157   Lapão                           
  1693 2919306   Lençóis                         
  1694 2919405   Licínio de Almeida              
  1695 2919603   Macajuba                        
  1696 2919702   Macarani                        
  1697 2919900   Macururé                        
  1698 2919926   Madre de Deus                   
  1699 2919959   Maetinga                        
  1700 2920007   Maiquinique                     
  1701 2920106   Mairi                           
  1702 2920205   Malhada                         
  1703 2920304   Malhada de Pedras               
  1704 2920403   Manoel Vitorino                 
  1705 2920452   Mansidão                        
  1706 2920502   Maracás                         
  1707 2920700   Maraú                           
  1708 2920809   Marcionílio Souza               
  1709 2920908   Mascote                         
  1710 2921054   Matina                          
  1711 2921104   Medeiros Neto                   
  1712 2921203   Miguel Calmon                   
  1713 2921302   Milagres                        
  1714 2921401   Mirangaba                       
  1715 2921450   Mirante                         
  1716 2921609   Morpará                         
  1717 2921807   Mortugaba                       
  1718 2921906   Mucugê                          
  1719 2922052   Mulungu do Morro                
  1720 2922102   Mundo Novo                      
  1721 2922201   Muniz Ferreira                  
  1722 2922250   Muquém de São Francisco         
  1723 2922300   Muritiba                        
  1724 2922409   Mutuípe                         
  1725 2922508   Nazaré                          
  1726 2922607   Nilo Peçanha                    
  1727 2922656   Nordestina                      
  1728 2922706   Nova Canaã                      
  1729 2922730   Nova Fátima                     
  1730 2922755   Nova Ibiá                       
  1731 2922805   Nova Itarana                    
  1732 2922854   Nova Redenção                   
  1733 2922904   Nova Soure                      
  1734 2923035   Novo Horizonte                  
  1735 2923050   Novo Triunfo                    
  1736 2923100   Olindina                        
  1737 2923209   Oliveira dos Brejinhos          
  1738 2923308   Ouriçangas                      
  1739 2923357   Ourolândia                      
  1740 2923407   Palmas de Monte Alto            
  1741 2923506   Palmeiras                       
  1742 2923605   Paramirim                       
  1743 2923704   Paratinga                       
  1744 2923803   Paripiranga                     
  1745 2923902   Pau Brasil                      
  1746 2924058   Pé de Serra                     
  1747 2924108   Pedrão                          
  1748 2924207   Pedro Alexandre                 
  1749 2924306   Piatã                           
  1750 2924405   Pilão Arcado                    
  1751 2924504   Pindaí                          
  1752 2924603   Pindobaçu                       
  1753 2924652   Pintadas                        
  1754 2924678   Piraí do Norte                  
  1755 2924702   Piripá                          
  1756 2924801   Piritiba                        
  1757 2924900   Planaltino                      
  1758 2925006   Planalto                        
  1759 2925253   Ponto Novo                      
  1760 2925402   Potiraguá                       
  1761 2925501   Prado                           
  1762 2925600   Presidente Dutra                
  1763 2925709   Presidente Jânio Quadros        
  1764 2925758   Presidente Tancredo Neves       
  1765 2925808   Queimadas                       
  1766 2925907   Quijingue                       
  1767 2925931   Quixabeira                      
  1768 2925956   Rafael Jambeiro                 
  1769 2926103   Retirolândia                    
  1770 2926202   Riachão das Neves               
  1771 2926400   Riacho de Santana               
  1772 2926509   Ribeira do Amparo               
  1773 2926657   Ribeirão do Largo               
  1774 2926707   Rio de Contas                   
  1775 2926806   Rio do Antônio                  
  1776 2926905   Rio do Pires                    
  1777 2927101   Rodelas                         
  1778 2927200   Ruy Barbosa                     
  1779 2927309   Salinas da Margarida            
  1780 2927507   Santa Bárbara                   
  1781 2927606   Santa Brígida                   
  1782 2927705   Santa Cruz Cabrália             
  1783 2927804   Santa Cruz da Vitória           
  1784 2927903   Santa Inês                      
  1785 2928059   Santa Luzia                     
  1786 2928208   Santana                         
  1787 2928307   Santanópolis                    
  1788 2928406   Santa Rita de Cássia            
  1789 2928505   Santa Teresinha                 
  1790 2928901   São Desidério                   
  1791 2928950   São Domingos                    
  1792 2929008   São Félix                       
  1793 2929057   São Félix do Coribe             
  1794 2929107   São Felipe                      
  1795 2929255   São Gabriel                     
  1796 2929354   São José da Vitória             
  1797 2929370   São José do Jacuípe             
  1798 2929404   São Miguel das Matas            
  1799 2929602   Sapeaçu                         
  1800 2929701   Sátiro Dias                     
  1801 2929750   Saubara                         
  1802 2929800   Saúde                           
  1803 2930006   Sebastião Laranjeiras           
  1804 2930154   Serra do Ramalho                
  1805 2930204   Sento Sé                        
  1806 2930303   Serra Dourada                   
  1807 2930402   Serra Preta                     
  1808 2930600   Serrolândia                     
  1809 2930758   Sítio do Mato                   
  1810 2930766   Sítio do Quinto                 
  1811 2930774   Sobradinho                      
  1812 2930808   Souto Soares                    
  1813 2930907   Tabocas do Brejo Velho          
  1814 2931004   Tanhaçu                         
  1815 2931053   Tanque Novo                     
  1816 2931103   Tanquinho                       
  1817 2931202   Taperoá                         
  1818 2931301   Tapiramutá                      
  1819 2931400   Teodoro Sampaio                 
  1820 2931509   Teofilândia                     
  1821 2931608   Teolândia                       
  1822 2931707   Terra Nova                      
  1823 2931806   Tremedal                        
  1824 2932002   Uauá                            
  1825 2932101   Ubaíra                          
  1826 2932200   Ubaitaba                        
  1827 2932309   Ubatã                           
  1828 2932408   Uibaí                           
  1829 2932457   Umburanas                       
  1830 2932507   Una                             
  1831 2932606   Urandi                          
  1832 2932705   Uruçuca                         
  1833 2932804   Utinga                          
  1834 2933000   Valente                         
  1835 2933059   Várzea da Roça                  
  1836 2933109   Várzea do Poço                  
  1837 2933158   Várzea Nova                     
  1838 2933174   Varzedo                         
  1839 2933257   Vereda                          
  1840 2933406   Wagner                          
  1841 2933455   Wanderley                       
  1842 2933505   Wenceslau Guimarães             
  1843 3100104   Abadia dos Dourados             
  1844 3100203   Abaeté                          
  1845 3100302   Abre Campo                      
  1846 3100401   Acaiaca                         
  1847 3100500   Açucena                         
  1848 3100609   Água Boa                        
  1849 3100708   Água Comprida                   
  1850 3100807   Aguanil                         
  1851 3100906   Águas Formosas                  
  1852 3101003   Águas Vermelhas                 
  1853 3101102   Aimorés                         
  1854 3101201   Aiuruoca                        
  1855 3101300   Alagoa                          
  1856 3101409   Albertina                       
  1857 3101631   Alfredo Vasconcelos             
  1858 3101805   Alpercata                       
  1859 3101904   Alpinópolis                     
  1860 3102001   Alterosa                        
  1861 3102050   Alto Caparaó                    
  1862 3102100   Alto Rio Doce                   
  1863 3102209   Alvarenga                       
  1864 3102308   Alvinópolis                     
  1865 3102407   Alvorada de Minas               
  1866 3102506   Amparo do Serra                 
  1867 3102704   Cachoeira de Pajeú              
  1868 3102803   Andrelândia                     
  1869 3102852   Angelândia                      
  1870 3102902   Antônio Carlos                  
  1871 3103009   Antônio Dias                    
  1872 3103108   Antônio Prado de Minas          
  1873 3103207   Araçaí                          
